view_slide_count,Quiz_count,Quiz_avg,Quiz_time_avg,Buoi_hoc,video_count,video_time,Diem_BT,GK
29,95,8.39,12.19,18,17,246,8.66,7.88
17,55,7.59,9.38,18,6,50,8.75,8.5
14,20,6.15,6.88,20,1,3,7.09,5.13
2,13,4.11,3.56,20,8,150,3,4.53
25,17,5.33,6.44,20,19,165,2.11,5.79
44,45,5.9,9.11,20,31,493,7.02,5.88
4,7,3.02,2.74,14,13,233,2.28,4.5
5,64,6.76,6.1,18,17,335,8.78,8.88
15,39,8.23,5.86,20,23,325,8.33,8.5
5,23,7.06,10.98,18,12,37,5.86,6.81
18,30,6.65,6.44,14,12,79,9.31,7.75
4,16,7.06,7.51,18,15,324,5.25,8.25
9,42,8.19,12.1,20,27,374,9.39,7.5
13,60,6.83,10.34,18,19,261,9.61,8.25
18,42,6.57,9.89,20,29,421,9.06,8
1,53,5.92,8.34,18,20,338,6.39,6.44
29,33,7.24,10.28,20,21,300,6.88,6.75
9,43,7.41,9.22,20,27,399,9.36,8.38
15,20,6.43,5.49,20,23,224,7.93,5.1
21,64,9.1,6.96,20,19,319,9.5,9
14,21,5.38,6.78,20,20,280,8.82,5.63
56,65,7.78,9.97,20,32,558,8,7.5
16,34,6.3,10.26,18,27,503,6.23,6.35
7,87,8.22,5.62,20,14,166,7.33,7
7,53,7.06,10.46,18,17,134,7.54,8.13
10,67,7.08,15.12,18,28,422,7.7,6.53
12,70,9.89,5.52,20,21,338,9.17,9.38
36,185,9.4,12.55,20,18,233,7.66,5.25
7,30,5.05,5.65,20,13,350,5.59,7.75
47,22,4.91,4.97,20,25,293,9.08,6.44
10,33,4.4,7.63,20,30,308,7.12,5.49
28,103,6.75,5.96,20,39,744,9.1,5.69
27,115,5.36,11,20,16,266,9.01,8.63
15,18,7.57,7.89,20,26,388,8.66,7.75
12,3,1.89,2.63,20,2,32,4.59,4.79
23,58,8,7.74,20,13,304,9.58,6.25
9,35,7.58,7.72,20,20,427,7.8,5.08
27,95,8.71,11.13,20,15,272,9.25,8
9,29,7.36,4.9,20,31,426,8.97,6.13
34,27,7.25,9.2,20,25,390,9.78,8.19
6,49,7.33,10.1,20,40,708,9.36,8
13,98,7.28,10.8,20,41,689,9.3,7.53
8,31,7.49,9.56,20,32,561,9.23,9.06
44,30,7.68,12.8,20,20,443,7.86,6.13
15,64,6.32,11.5,20,30,397,6.97,6.75
20,26,8.21,6.26,20,22,529,8.38,7.42
6,34,6.7,12.34,18,22,371,6.67,6.38
16,22,5.86,9.69,18,18,340,2.67,8
13,45,6.88,6.38,18,23,141,2.28,5.06
4,18,7.26,7.72,18,28,614,6.95,6.52
11,22,4.13,9.61,18,19,206,5.87,5.19
12,22,4.02,2.77,20,39,754,7.47,4.94
6,35,5.08,2.94,20,26,527,7.75,3.19
9,32,3.2,6.12,16,10,209,4.69,5.63
13,66,6.55,10.79,20,19,309,9.94,7.38
39,65,8.44,9.71,20,27,447,8.28,9
37,71,8.71,8.06,20,43,694,9.78,9
24,37,7.8,7.03,20,24,358,9.14,8.13
32,22,8.15,4.97,20,31,496,9.13,8.56
38,21,5.27,9.69,20,12,267,6.97,5.81
16,23,5.49,6.76,20,21,196,8.71,5.38
16,66,7.49,9.74,20,16,341,7.78,6
31,28,7.09,7.27,20,28,493,8.64,7.19
18,21,7.6,6.57,20,13,127,6.47,8.13
5,8,2.29,2.87,20,4,113,6.44,7.63
26,17,3.53,7.42,18,16,228,6.31,5.94
12,30,3.81,3.75,20,22,338,7.88,6.94
36,22,7.63,10.02,20,9,202,8.64,8.56
16,12,5.61,6.3,18,13,282,8.13,4.25
18,37,7.16,8.04,20,23,425,9.14,6.31
16,24,4.38,5.3,20,22,319,7.4,5.02
19,20,7.47,7.39,20,13,268,8.36,7.31
16,28,6.71,4.41,18,22,278,7.34,7.92
7,23,8.04,9.02,20,19,327,7.78,6.19
19,11,4.89,4.31,18,19,305,4.39,7.38
17,61,8.28,8.44,20,26,307,8.38,8.63
21,11,4.9,5.88,18,18,226,5.94,6.88
14,15,4.28,7.78,20,15,318,8.03,6.19
20,15,4.69,7.72,20,28,467,7.08,4.38
10,7,3.16,3.49,18,14,155,5.08,4.08
16,10,0.84,1.78,16,26,458,2.61,7.25
13,88,5.83,7.62,18,37,603,6.94,8.5
32,20,5.86,5.26,18,6,65,8.79,6.56
3,23,4.37,3.49,18,35,542,7.5,4.68
11,39,3.98,9.57,20,20,355,7.5,7.13
8,14,5.32,8.87,17,20,212,2.5,7.25
8,34,6.97,6.04,15,31,402,10,6.4
15,85,7.15,6.29,20,18,333,10,7.25
0,3,1.61,1.6,20,4,63,0,3.81
11,11,5.37,6.16,20,18,282,7,4.4
31,18,6.4,6.65,20,18,256,7.6,5.25
12,28,6.88,6.82,18,19,265,8.6,5.69
14,24,5.31,6.88,18,25,437,8,4.06
30,36,7.15,8.49,20,20,365,10,8.94
18,26,6.73,9.73,20,17,446,10,7
10,34,4.32,6.87,20,28,322,5,3.94
4,20,6.58,6.66,20,16,374,9,6.94
28,27,7.65,5.68,20,35,452,8,8.96
12,39,7.71,8.68,20,17,309,10,7.5
15,17,6.48,6.03,20,14,251,7.4,5.92
19,23,7.64,10.25,20,20,311,8.5,6.79
9,227,6.28,14.55,17,14,236,6.7,6.28
17,201,7.57,8.17,20,19,368,9,9
19,34,6.58,6.04,20,17,338,8.8,5.78
