view_slide_count,Quiz_count,Quiz_avg,Quiz_time_avg,Buoi_hoc,video_count,video_time,Diem_BT,GK,Cluster,Probability
29,95,8.39,12.19,18,17,246,8.66,7.88,0,0.9982544612243398
17,55,7.59,9.38,18,6,50,8.75,8.5,1,0.9592125816714376
14,20,6.15,6.88,20,1,3,7.09,5.13,1,0.8724690409935985
2,13,4.11,3.56,20,8,150,3.0,4.53,0,0.9999506344806198
25,17,5.33,6.44,20,19,165,2.11,5.79,0,0.9992575111258445
44,45,5.9,9.11,20,31,493,7.02,5.88,2,0.9990092335666967
4,7,3.02,2.74,14,13,233,2.28,4.5,0,0.9999999980420462
5,64,6.76,6.1,18,17,335,8.78,8.88,0,0.8873568374444543
15,39,8.23,5.86,20,23,325,8.33,8.5,1,0.9865581175482956
5,23,7.06,10.98,18,12,37,5.86,6.81,1,0.9713112508774653
18,30,6.65,6.44,14,12,79,9.31,7.75,0,0.9999924151495941
4,16,7.06,7.51,18,15,324,5.25,8.25,1,0.6143757932593268
9,42,8.19,12.1,20,27,374,9.39,7.5,1,0.9361192807677327
13,60,6.83,10.34,18,19,261,9.61,8.25,1,0.9285388355880968
18,42,6.57,9.89,20,29,421,9.06,8.0,1,0.9999010153750757
1,53,5.92,8.34,18,20,338,6.39,6.44,1,0.7190038488421355
29,33,7.24,10.28,20,21,300,6.88,6.75,1,0.5706330971351556
9,43,7.41,9.22,20,27,399,9.36,8.38,1,0.9997600774137062
15,20,6.43,5.49,20,23,224,7.93,5.1,1,0.9128754859239896
21,64,9.1,6.96,20,19,319,9.5,9.0,1,0.9956940040223058
14,21,5.38,6.78,20,20,280,8.82,5.63,1,0.9984097631709702
56,65,7.78,9.97,20,32,558,8.0,7.5,2,0.9999933237643788
16,34,6.3,10.26,18,27,503,6.23,6.35,1,0.9158054198713321
7,87,8.22,5.62,20,14,166,7.33,7.0,0,0.9994240219205038
7,53,7.06,10.46,18,17,134,7.54,8.13,1,0.9955515420723489
10,67,7.08,15.12,18,28,422,7.7,6.53,1,0.9990280074453125
12,70,9.89,5.52,20,21,338,9.17,9.38,1,0.9940028746317708
36,185,9.4,12.55,20,18,233,7.66,5.25,0,0.9999999999785274
7,30,5.05,5.65,20,13,350,5.59,7.75,0,0.9841643427681567
47,22,4.91,4.97,20,25,293,9.08,6.44,1,0.9988681806843538
10,33,4.4,7.63,20,30,308,7.12,5.49,1,0.996224888025992
28,103,6.75,5.96,20,39,744,9.1,5.69,2,0.999996707475616
27,115,5.36,11.0,20,16,266,9.01,8.63,0,0.9999997640874904
15,18,7.57,7.89,20,26,388,8.66,7.75,1,0.7705363712948825
12,3,1.89,2.63,20,2,32,4.59,4.79,0,0.9998495520616678
23,58,8.0,7.74,20,13,304,9.58,6.25,1,0.9915893284279456
9,35,7.58,7.72,20,20,427,7.8,5.08,1,0.9885026414930647
27,95,8.71,11.13,20,15,272,9.25,8.0,0,0.9765681045680185
9,29,7.36,4.9,20,31,426,8.97,6.13,2,0.8825392854653371
34,27,7.25,9.2,20,25,390,9.78,8.19,1,0.9854917316764042
6,49,7.33,10.1,20,40,708,9.36,8.0,2,0.8158401439805024
